player_name,team,position,caps,club,group
Ross Stewart,Scotland,FWD,3,,Group C
John Souttar,Scotland,DEF,24,,Group C
Dominic Hyam,Scotland,DEF,4,,Group C
Ben Gannon-Doak,Scotland,FWD,14,,Group C
George Hirst,Scotland,FWD,10,,Group C
Lewis Ferguson,Scotland,MID,24,,Group C
Lawrence Shankland,Scotland,FWD,20,,Group C
Craig Gordon,Scotland,GK,84,,Group C
Nathan Patterson,Scotland,DEF,26,,Group C
Kenny McLean,Scotland,MID,58,,Group C
Anthony Ralston,Scotland,DEF,27,,Group C
Findlay Curtis,Scotland,FWD,3,,Group C
Scott McKenna,Scotland,DEF,50,,Group C
Mathew Ryan,Australia,GK,104,,Group D
Miloš Degenek,Australia,DEF,57,,Group D
Alessandro Circati,Australia,DEF,13,,Group D
Jacob Italiano,Australia,DEF,5,,Group D
Jordan Bos,Australia,DEF,27,,Group D
Jason Geria,Australia,DEF,14,,Group D
Mathew Leckie,Australia,FWD,80,,Group D
Connor Metcalfe,Australia,MID,36,,Group D
Mohamed Touré,Australia,FWD,10,,Group D
Ajdin Hrustic,Australia,FWD,37,,Group D
Awer Mabil,Australia,FWD,38,,Group D
Paul Izzo,Australia,GK,4,,Group D
Aiden O'Neill,Australia,MID,31,,Group D
Cammy Devlin,Australia,MID,5,,Group D
Kai Trewin,Australia,DEF,6,,Group D
Aziz Behich,Australia,DEF,84,,Group D
Nestory Irankunda,Australia,FWD,15,,Group D
Patrick Beach,Australia,GK,2,,Group D
Harry Souttar,Australia,DEF,38,,Group D
Cristian Volpato,Australia,FWD,1,,Group D
Cameron Burgess,Australia,DEF,27,,Group D
Jackson Irvine,Australia,MID,82,,Group D
Nishan Velupillay,Australia,FWD,7,,Group D
Paul Okon-Engstler,Australia,MID,6,,Group D
Lucas Herrington,Australia,DEF,4,,Group D
Tete Yengi,Australia,FWD,1,,Group D
Gatito Fernández,Paraguay,GK,31,,Group D
Gustavo Velázquez,Paraguay,DEF,13,,Group D
Omar Alderete,Paraguay,DEF,36,,Group D
Juan José Cáceres,Paraguay,DEF,17,,Group D
Fabián Balbuena,Paraguay,DEF,48,,Group D
